strain.code,temp,rate.min,domain,kingdom,phylum,binomial.name,aero,trophy
13,55,0.013862944,Bacteria,Bacteria,Proteobacteria,Caminibacter mediatlanticus,AN,A
14,55,0.01732868,Bacteria,Bacteria,Proteobacteria,Caminibacter profundus,FA,A
15,55,0.01732868,Bacteria,Bacteria,Proteobacteria,Caminibacter profundus,FA,A
16,12,0.000243056,Eukarya,Chromista,Myzozoa,Noctiluca scintillans,A,H
16,16,0.000451389,Eukarya,Chromista,Myzozoa,Noctiluca scintillans,A,H
16,25,0.0004375,Eukarya,Chromista,Myzozoa,Noctiluca scintillans,A,H
16,27,0.000104167,Eukarya,Chromista,Myzozoa,Noctiluca scintillans,A,H
17,34.00950642,0.000883699,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,34.01325739,0.000978915,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,35.15105087,0.000978738,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,36.19301606,0.001501603,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,37.16737452,0.001743708,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,38.18174331,0.001424488,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,39.15208288,0.001527058,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,40.02096771,0.002073942,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,41.22181317,0.002313737,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,42.18893762,0.002313507,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,43.1184631,0.00314971,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,44.26750948,0.003696768,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,46.14540457,0.00372336,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,47.23113105,0.003971906,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,48.14833191,0.004345307,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,52.2470677,0.004492144,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,54.10727966,0.003586206,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,55.15219203,0.004702778,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,57.2319249,0.003374881,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,58.06999821,0.002676822,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
17,60.08158851,0.001337619,Bacteria,Bacteria,Firmicutes,Bacterial str.,A,M
18,60,0.001298028,Bacteria,Bacteria,Proteobacteria,Thermoanaerobaculum aquaticum,AN,H
19,-9.414710412,2.73E-05,Bacteria,Bacteria,,Bacterial str.,A,H
19,-4.641420133,5.14E-05,Bacteria,Bacteria,,Bacterial str.,A,H
19,-1.197428202,8.05E-05,Bacteria,Bacteria,,Bacterial str.,A,H
19,0.193800761,0.000137565,Bacteria,Bacteria,,Bacterial str.,A,H
19,4.999573994,0.000436652,Bacteria,Bacteria,,Bacterial str.,A,H
20,65,0.006601402,Bacteria,Bacteria,Thermotogae,Thermococcoides shengliensis,AN,H
21,58.5,0.003850818,Bacteria,Bacteria,Thermotogae,Mesoaciditoga lauensis,AN,H
22,55,0.014592572,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,26.2411976,0.002048977,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,26.29671321,0.002089639,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,27.9718081,0.00291845,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,27.9718081,0.00291845,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,29.89304836,0.003437719,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,29.94992662,0.004380514,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,31.60873431,0.005026484,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,31.66625847,0.007446424,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,33.40213815,0.008657179,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,33.57681412,0.008269197,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,35.39352401,0.00918288,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,35.51147035,0.009122926,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,37.17223804,0.01241184,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,37.41095056,0.011250332,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,39.27349906,0.013693266,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,39.27349906,0.013603865,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,41.09736024,0.015106988,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,41.2197084,0.015306199,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,43.12836098,0.015815793,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,43.252296,0.015919729,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,45.24854873,0.016886444,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,45.31133758,0.016886444,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,47.07953521,0.017911861,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,47.2701502,0.018029573,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,49.31758631,0.019124406,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,49.38199037,0.019376592,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,51.45659062,0.020419034,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,51.45659062,0.020419034,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,53.49196901,0.021377073,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,53.49196901,0.021377073,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,55.68689784,0.020419034,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,55.75387141,0.020419034,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,57.91152375,0.018508206,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,57.91152375,0.01838737,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,59.96019142,0.012909354,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
23,60.02891708,0.012994191,Bacteria,Bacteria,Firmicutes,Clostridium thermobutyricum,AN,H
24,15,0.004142242,Bacteria,Bacteria,Proteobacteria,Vibrio sp.,FA,H
24,20,0.011000264,Bacteria,Bacteria,Proteobacteria,Vibrio sp.,FA,H
24,25,0.015459185,Bacteria,Bacteria,Proteobacteria,Vibrio sp.,FA,H
24,30,0.024132781,Bacteria,Bacteria,Proteobacteria,Vibrio sp.,FA,H
24,35,0.022105947,Bacteria,Bacteria,Proteobacteria,Vibrio sp.,FA,H
25,17.10451306,0.00033514,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,19.06175772,0.00033415,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,20.75712589,0.000626577,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,22.81710214,0.000959274,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,25.62351544,0.001079214,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,31.16330166,0.002563063,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,33.08313539,0.003199228,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,34.42755344,0.003218775,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,36.02078385,0.003167403,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,38.08254157,0.003469758,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,39.804038,0.003317189,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,41.64786223,0.003164557,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,42.55106888,0.002365152,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,43.2868171,0.002334441,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
25,44.87173397,0.000341325,Bacteria,Bacteria,Firmicutes,Desulfitobacterium dehalogenans,AN,H
26,60,0.0017773,Bacteria,Bacteria,Firmicutes,Clostridium thermocellum,AN,H
26,60,0.004620981,Bacteria,Bacteria,Firmicutes,Clostridium thermocellum,AN,H
27,16,7.92E-05,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
27,20,0.000131944,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
27,24,0.00018125,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
28,16,9.10E-05,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
28,20,0.000100694,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
28,24,0.0001125,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
29,16,6.53E-05,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
29,20,8.40E-05,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
29,24,9.10E-05,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
30,16,4.58E-05,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
30,20,6.53E-05,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
30,24,0.000111806,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
31,16,8.47E-05,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
31,20,0.000114583,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
31,24,0.000147222,Eukarya,Animalia,Rotifera,Macrotrachela quadricornifra,A,H
32,5.881030011,0.000139339,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,6.825575125,0.000148251,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,7.850554471,0.000174805,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,8.958555089,0.000263761,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,9.850756508,0.000337628,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,10.8227995,0.000382064,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,11.87808515,0.000509608,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,12.86530064,0.000693823,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,13.78137503,0.000753506,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,14.85788084,0.000870401,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,15.78665107,0.000926048,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,16.80010395,0.001069682,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,17.89942278,0.001235628,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,18.84848792,0.00142724,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,19.80376258,0.001648566,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,20.84509104,0.00175401,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,21.81294137,0.001866148,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,22.78788206,0.002200286,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,23.85099218,0.002489869,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,24.92162626,0.00276026,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,25.66744387,0.002997452,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,26.83459022,0.003189259,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,27.84306519,0.003760305,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,28.77270133,0.003919234,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,29.87873946,0.004085103,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,30.82189454,0.00481642,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,31.85606888,0.004720008,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,32.89760217,0.004819575,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,33.85832164,0.004722971,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,34.82524252,0.004724389,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,35.79812111,0.004629692,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,36.95586847,0.004537141,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,37.94227583,0.004446198,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,38.93466819,0.004181648,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
32,39.93278796,0.003622519,Bacteria,Bacteria,Firmicutes,Lactococcus paracasei,FA,H
33,29.79806966,0.007884157,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,30.82542477,0.007886739,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,31.86021556,0.008390954,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,32.81501927,0.00892716,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,33.95212804,0.010967463,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,34.92100056,0.013199317,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,35.89524539,0.014334328,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,36.96536018,0.016220447,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,37.9530606,0.018735287,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,38.85607906,0.020345782,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,39.94652013,0.022095921,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,40.86069397,0.0225608,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,41.8732448,0.025528667,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,42.89234663,0.028886956,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,43.91790321,0.032022227,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,44.94965387,0.033375644,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,45.9879788,0.034078769,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,46.84227621,0.033393864,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,47.98771323,0.029530147,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,48.85210426,0.026653416,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,49.81827079,0.024557032,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
33,50.98581966,0.023576011,Bacteria,Bacteria,Firmicutes,Streptococcus thermophilus,FA,H
34,19,0.001267181,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
34,27,0.015410833,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
34,29,0.012768146,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
34,32,0.015515102,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
34,35,0.025482989,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
34,38,0.026374258,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
34,41,0.02559492,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
34,43,0.025039855,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
34,44,0.02480356,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
34,46,0.02663249,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
34,49,0.028208038,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
35,5,6.84E-06,Eukarya,Animalia,Arthropoda,Acroperus harpae,A,H
35,10,1.27E-05,Eukarya,Animalia,Arthropoda,Acroperus harpae,A,H
35,15,1.97E-05,Eukarya,Animalia,Arthropoda,Acroperus harpae,A,H
35,20,3.12E-05,Eukarya,Animalia,Arthropoda,Acroperus harpae,A,H
36,5,6.60E-06,Eukarya,Animalia,Arthropoda,Alona affinis,A,H
36,10,1.23E-05,Eukarya,Animalia,Arthropoda,Alona affinis,A,H
36,15,1.88E-05,Eukarya,Animalia,Arthropoda,Alona affinis,A,H
36,20,2.84E-05,Eukarya,Animalia,Arthropoda,Alona affinis,A,H
37,5,1.25E-05,Eukarya,Animalia,Arthropoda,Chydorus sphaericus,A,H
37,10,2.34E-05,Eukarya,Animalia,Arthropoda,Chydorus sphaericus,A,H
37,15,4.37E-05,Eukarya,Animalia,Arthropoda,Chydorus sphaericus,A,H
37,20,5.38E-05,Eukarya,Animalia,Arthropoda,Chydorus sphaericus,A,H
38,5,4.79E-06,Eukarya,Animalia,Arthropoda,Eurycercus lamellatus,A,H
38,10,9.19E-06,Eukarya,Animalia,Arthropoda,Eurycercus lamellatus,A,H
38,15,1.71E-05,Eukarya,Animalia,Arthropoda,Eurycercus lamellatus,A,H
38,20,2.52E-05,Eukarya,Animalia,Arthropoda,Eurycercus lamellatus,A,H
39,5,1.08E-05,Eukarya,Animalia,Arthropoda,Graptoleberis testudinaria,A,H
39,10,2.04E-05,Eukarya,Animalia,Arthropoda,Graptoleberis testudinaria,A,H
39,15,3.04E-05,Eukarya,Animalia,Arthropoda,Graptoleberis testudinaria,A,H
39,20,5.08E-05,Eukarya,Animalia,Arthropoda,Graptoleberis testudinaria,A,H
40,5,6.15E-06,Eukarya,Animalia,Arthropoda,Pleuroxus uncinatus,A,H
40,10,1.26E-05,Eukarya,Animalia,Arthropoda,Pleuroxus uncinatus,A,H
40,15,2.15E-05,Eukarya,Animalia,Arthropoda,Pleuroxus uncinatus,A,H
40,20,3.54E-05,Eukarya,Animalia,Arthropoda,Pleuroxus uncinatus,A,H
41,10,9.96E-06,Eukarya,Animalia,Arthropoda,Sida crystallina,A,H
41,15,1.86E-05,Eukarya,Animalia,Arthropoda,Sida crystallina,A,H
41,20,2.98E-05,Eukarya,Animalia,Arthropoda,Sida crystallina,A,H
42,10,1.32E-05,Eukarya,Animalia,Arthropoda,Simocephalus vetulus,A,H
42,15,2.17E-05,Eukarya,Animalia,Arthropoda,Simocephalus vetulus,A,H
42,20,3.29E-05,Eukarya,Animalia,Arthropoda,Simocephalus vetulus,A,H
43,13.04985337,0.000173913,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,16.04105572,0.00173913,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,16.04105572,0.001478261,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,19.97067449,0.003043478,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,22.96187683,0.006434783,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,22.96187683,0.018,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,24.95601173,0.006086957,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,25.07331378,0.007217391,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,27.94721408,0.018086957,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,28.06451613,0.012869565,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,30.99706745,0.020521739,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,30.99706745,0.017130435,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,32.93255132,0.020521739,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,32.99120235,0.019130435,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,34.98533724,0.024521739,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,35.04398827,0.02826087,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
43,36.97947214,0.03226087,Bacteria,Bacteria,Firmicutes,Clostridium perfringens,AN,H
